Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	Data-ld-ln	Full-ld-ln
0	 0.00003	 0.00006	 0.00003	 0.00007	 0.01429	 0.00000	 0.00001		224.009301	-2141.207487
1001	 0.00003	 0.00006	 0.00003	 0.00008	 0.01361	 0.00000	 0.00001		224.799539	-2145.037544
2002	 0.00008	 0.00018	 0.00004	 0.00004	 0.01466	 0.00001	 0.00001		218.388561	-2074.793174
3003	 0.00004	 0.00011	 0.00002	 0.00001	 0.01210	 0.00001	 0.00001		230.594647	-2114.965646
4004	 0.00004	 0.00006	 0.00001	 0.00001	 0.01400	 0.00000	 0.00000		238.159257	-2114.117041
5005	 0.00002	 0.00003	 0.00001	 0.00001	 0.01404	 0.00000	 0.00000		240.663012	-2183.938227
6006	 0.00005	 0.00007	 0.00003	 0.00011	 0.01270	 0.00000	 0.00001		212.187519	-2153.825716
7007	 0.00013	 0.00020	 0.00007	 0.00021	 0.01255	 0.00002	 0.00002		195.045096	-2147.817862
8008	 0.00015	 0.00034	 0.00007	 0.00019	 0.01318	 0.00002	 0.00003		198.880505	-2138.355655
9009	 0.00021	 0.00026	 0.00008	 0.00016	 0.01340	 0.00003	 0.00003		194.313194	-2172.366312
10010	 0.00013	 0.00022	 0.00013	 0.00049	 0.01324	 0.00002	 0.00005		197.890900	-2145.701127
11011	 0.00005	 0.00005	 0.00005	 0.00021	 0.01379	 0.00000	 0.00002		217.571872	-2124.640412
12012	 0.00003	 0.00005	 0.00004	 0.00024	 0.01336	 0.00000	 0.00001		215.987220	-2126.853394
13013	 0.00002	 0.00003	 0.00003	 0.00013	 0.01260	 0.00000	 0.00001		230.315327	-2103.580572
14014	 0.00003	 0.00007	 0.00005	 0.00031	 0.01427	 0.00000	 0.00002		215.107377	-2144.739741
15015	 0.00001	 0.00002	 0.00004	 0.00021	 0.01363	 0.00000	 0.00001		236.392406	-2091.725665
16016	 0.00002	 0.00002	 0.00004	 0.00025	 0.01292	 0.00000	 0.00001		223.043202	-2170.315829
17017	 0.00008	 0.00009	 0.00011	 0.00046	 0.01334	 0.00001	 0.00004		205.378829	-2053.183729
18018	 0.00004	 0.00005	 0.00005	 0.00037	 0.01288	 0.00001	 0.00002		212.501534	-2194.795475
19019	 0.00009	 0.00010	 0.00012	 0.00038	 0.01408	 0.00001	 0.00003		196.891825	-2138.269747
20020	 0.00014	 0.00033	 0.00010	 0.00025	 0.01125	 0.00002	 0.00003		199.970011	-2235.579534
21021	 0.00014	 0.00018	 0.00006	 0.00031	 0.01295	 0.00001	 0.00002		195.275197	-2102.168139
22022	 0.00015	 0.00042	 0.00008	 0.00016	 0.01455	 0.00002	 0.00003		190.588824	-2111.083538
23023	 0.00018	 0.00034	 0.00009	 0.00011	 0.01385	 0.00002	 0.00003		197.598075	-2098.741974
24024	 0.00016	 0.00024	 0.00006	 0.00017	 0.01343	 0.00002	 0.00002		191.696234	-2162.910804
25025	 0.00010	 0.00026	 0.00005	 0.00011	 0.01293	 0.00001	 0.00002		200.861208	-2208.700400
26026	 0.00017	 0.00013	 0.00006	 0.00017	 0.01296	 0.00001	 0.00002		205.907363	-2199.826809
