Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00003	 0.00008	 0.00000	 0.00012	 0.01731	 0.00000	 0.00000	 0.00000		205.434414	-2813.560202
1001	 0.00003	 0.00006	 0.00001	 0.00005	 0.01786	 0.00000	 0.00000	 0.00000		211.177755	-2757.541036
2002	 0.00002	 0.00008	 0.00000	 0.00011	 0.01927	 0.00000	 0.00000	 0.00000		207.012009	-2849.462482
3003	 0.00002	 0.00016	 0.00000	 0.00016	 0.01664	 0.00000	 0.00000	 0.00000		198.311577	-2901.001646
4004	 0.00002	 0.00008	 0.00000	 0.00009	 0.01865	 0.00000	 0.00000	 0.00000		210.960506	-2821.744051
5005	 0.00002	 0.00003	 0.00000	 0.00007	 0.01893	 0.00000	 0.00000	 0.00000		220.837805	-2871.267113
6006	 0.00003	 0.00012	 0.00000	 0.00010	 0.01631	 0.00000	 0.00000	 0.00000		202.439326	-2852.983120
7007	 0.00003	 0.00004	 0.00000	 0.00002	 0.01866	 0.00000	 0.00000	 0.00000		224.898020	-2824.375656
8008	 0.00003	 0.00006	 0.00000	 0.00005	 0.01758	 0.00000	 0.00000	 0.00000		214.496846	-2841.342663
9009	 0.00001	 0.00004	 0.00000	 0.00028	 0.01674	 0.00000	 0.00000	 0.00000		212.184835	-2931.236704
10010	 0.00001	 0.00004	 0.00000	 0.00003	 0.01756	 0.00000	 0.00000	 0.00000		224.975828	-2810.046078
11011	 0.00001	 0.00004	 0.00000	 0.00004	 0.01826	 0.00000	 0.00000	 0.00000		228.513087	-2838.536720
12012	 0.00000	 0.00010	 0.00000	 0.00001	 0.01855	 0.00000	 0.00000	 0.00000		251.237221	-2825.719304
13013	 0.00000	 0.00005	 0.00000	 0.00005	 0.01749	 0.00000	 0.00000	 0.00000		234.003054	-2791.127696
14014	 0.00001	 0.00002	 0.00000	 0.00012	 0.01760	 0.00000	 0.00000	 0.00000		221.353103	-2850.841584
15015	 0.00000	 0.00001	 0.00000	 0.00012	 0.01720	 0.00000	 0.00000	 0.00000		229.980892	-2828.273238
16016	 0.00001	 0.00002	 0.00000	 0.00012	 0.01668	 0.00000	 0.00000	 0.00000		228.858642	-2864.760449
17017	 0.00002	 0.00006	 0.00000	 0.00028	 0.01707	 0.00000	 0.00000	 0.00000		212.929300	-2938.130180
18018	 0.00002	 0.00003	 0.00000	 0.00006	 0.01823	 0.00000	 0.00000	 0.00000		216.486987	-2803.011644
19019	 0.00002	 0.00004	 0.00001	 0.00012	 0.01824	 0.00000	 0.00000	 0.00000		215.737933	-2814.926536
20020	 0.00004	 0.00012	 0.00001	 0.00010	 0.01874	 0.00000	 0.00000	 0.00000		205.186429	-2827.370770
21021	 0.00005	 0.00012	 0.00001	 0.00010	 0.01635	 0.00000	 0.00001	 0.00000		208.847785	-2882.770299
22022	 0.00008	 0.00025	 0.00002	 0.00011	 0.01761	 0.00001	 0.00001	 0.00000		198.745507	-2781.807593
23023	 0.00006	 0.00016	 0.00001	 0.00015	 0.01931	 0.00001	 0.00001	 0.00000		199.641014	-2879.327172
24024	 0.00008	 0.00025	 0.00001	 0.00013	 0.01835	 0.00001	 0.00001	 0.00000		199.761135	-2846.792827
25025	 0.00006	 0.00009	 0.00001	 0.00007	 0.01840	 0.00000	 0.00001	 0.00000		212.152721	-2824.758951
26026	 0.00013	 0.00012	 0.00002	 0.00007	 0.01851	 0.00001	 0.00001	 0.00000		209.647729	-2733.301262
27027	 0.00006	 0.00015	 0.00001	 0.00021	 0.01914	 0.00000	 0.00001	 0.00000		200.801753	-2865.513759
28028	 0.00004	 0.00008	 0.00001	 0.00002	 0.01737	 0.00000	 0.00000	 0.00000		221.823021	-2833.075355
29029	 0.00003	 0.00013	 0.00000	 0.00002	 0.01655	 0.00000	 0.00000	 0.00000		216.533596	-2809.632006
30030	 0.00001	 0.00013	 0.00000	 0.00005	 0.01637	 0.00000	 0.00000	 0.00000		216.459687	-2795.394126
31031	 0.00003	 0.00006	 0.00001	 0.00018	 0.01701	 0.00000	 0.00000	 0.00000		210.093583	-2873.404021
32032	 0.00003	 0.00004	 0.00000	 0.00011	 0.01787	 0.00000	 0.00000	 0.00000		213.723503	-2847.816480
33033	 0.00002	 0.00007	 0.00000	 0.00005	 0.01873	 0.00000	 0.00000	 0.00000		208.721632	-2831.607644
34034	 0.00002	 0.00006	 0.00000	 0.00012	 0.01746	 0.00000	 0.00000	 0.00000		215.606059	-2848.897262
35035	 0.00002	 0.00002	 0.00000	 0.00003	 0.01673	 0.00000	 0.00000	 0.00000		221.903208	-2820.341238
36036	 0.00005	 0.00011	 0.00001	 0.00015	 0.01741	 0.00000	 0.00000	 0.00000		196.547444	-2874.581940
37037	 0.00004	 0.00013	 0.00000	 0.00001	 0.01789	 0.00000	 0.00000	 0.00000		218.010295	-2815.501680
38038	 0.00002	 0.00009	 0.00000	 0.00005	 0.01853	 0.00000	 0.00000	 0.00000		214.388022	-2813.108004
39039	 0.00002	 0.00006	 0.00000	 0.00004	 0.01793	 0.00000	 0.00000	 0.00000		206.217302	-2905.648005
40040	 0.00002	 0.00004	 0.00000	 0.00021	 0.01677	 0.00000	 0.00000	 0.00000		211.873678	-2775.662518
41041	 0.00002	 0.00013	 0.00000	 0.00006	 0.01970	 0.00000	 0.00000	 0.00000		207.256127	-2764.845998
42042	 0.00003	 0.00012	 0.00001	 0.00013	 0.01783	 0.00000	 0.00000	 0.00000		204.068276	-2830.389725
43043	 0.00001	 0.00016	 0.00000	 0.00006	 0.01888	 0.00000	 0.00000	 0.00000		216.197030	-2816.809702
44044	 0.00002	 0.00005	 0.00000	 0.00002	 0.01896	 0.00000	 0.00000	 0.00000		214.109258	-2763.171715
45045	 0.00001	 0.00002	 0.00000	 0.00006	 0.01618	 0.00000	 0.00000	 0.00000		218.804565	-2809.273510
46046	 0.00000	 0.00003	 0.00000	 0.00003	 0.01804	 0.00000	 0.00000	 0.00000		230.884096	-2867.552150
47047	 0.00001	 0.00002	 0.00000	 0.00003	 0.01660	 0.00000	 0.00000	 0.00000		232.118985	-2885.073940
48048	 0.00001	 0.00001	 0.00000	 0.00014	 0.01862	 0.00000	 0.00000	 0.00000		228.592937	-2867.701129
49049	 0.00001	 0.00007	 0.00000	 0.00017	 0.01634	 0.00000	 0.00000	 0.00000		208.045209	-2916.359238
50050	 0.00001	 0.00004	 0.00000	 0.00014	 0.01700	 0.00000	 0.00000	 0.00000		214.527522	-2760.504581
