Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
0	 0.00004	 0.00015	 0.00001	 0.00011	 0.01594	 0.00000	 0.00000	 0.00000		197.419127	-2675.781489
1001	 0.00003	 0.00020	 0.00002	 0.00023	 0.01770	 0.00000	 0.00001	 0.00000		195.213578	-2613.043634
2002	 0.00002	 0.00005	 0.00001	 0.00006	 0.01574	 0.00000	 0.00000	 0.00000		212.105208	-2675.438363
3003	 0.00002	 0.00008	 0.00001	 0.00007	 0.01638	 0.00000	 0.00000	 0.00000		209.263442	-2559.026675
4004	 0.00001	 0.00006	 0.00001	 0.00004	 0.01684	 0.00000	 0.00000	 0.00000		216.218432	-2523.272707
5005	 0.00003	 0.00009	 0.00001	 0.00010	 0.01692	 0.00000	 0.00000	 0.00000		203.235133	-2595.336451
6006	 0.00004	 0.00007	 0.00002	 0.00003	 0.01651	 0.00000	 0.00000	 0.00000		212.028241	-2575.435706
7007	 0.00009	 0.00033	 0.00002	 0.00012	 0.01737	 0.00001	 0.00001	 0.00000		183.095871	-2602.289746
8008	 0.00008	 0.00023	 0.00002	 0.00017	 0.01650	 0.00001	 0.00001	 0.00000		186.911597	-2620.648030
9009	 0.00008	 0.00011	 0.00003	 0.00010	 0.01603	 0.00001	 0.00001	 0.00000		202.594067	-2528.664532
10010	 0.00002	 0.00008	 0.00001	 0.00038	 0.01703	 0.00000	 0.00000	 0.00000		198.259011	-2721.928049
11011	 0.00003	 0.00006	 0.00002	 0.00026	 0.01595	 0.00000	 0.00000	 0.00000		203.405495	-2637.511617
12012	 0.00002	 0.00010	 0.00002	 0.00009	 0.01619	 0.00000	 0.00001	 0.00000		216.142008	-2487.195870
13013	 0.00003	 0.00014	 0.00001	 0.00008	 0.01562	 0.00000	 0.00000	 0.00000		204.927354	-2540.577362
14014	 0.00005	 0.00012	 0.00003	 0.00009	 0.01720	 0.00000	 0.00001	 0.00000		204.032720	-2543.172839
15015	 0.00007	 0.00014	 0.00002	 0.00015	 0.01535	 0.00000	 0.00001	 0.00000		194.822280	-2555.559497
16016	 0.00004	 0.00026	 0.00002	 0.00007	 0.01515	 0.00001	 0.00001	 0.00000		196.681715	-2601.105169
17017	 0.00002	 0.00014	 0.00001	 0.00007	 0.01525	 0.00000	 0.00000	 0.00000		202.778617	-2701.502042
18018	 0.00003	 0.00011	 0.00001	 0.00014	 0.01594	 0.00000	 0.00000	 0.00000		190.679211	-2616.108666
19019	 0.00002	 0.00007	 0.00001	 0.00003	 0.01833	 0.00000	 0.00000	 0.00000		212.427188	-2599.980621
