Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
0	 0.00004	 0.00006	 0.00003	 0.00011	 0.02377	 0.00000	 0.00001	 0.00000	 0.00000		211.380422	-3606.257456
1001	 0.00005	 0.00007	 0.00005	 0.00020	 0.02472	 0.00000	 0.00002	 0.00000	 0.00000		203.825437	-3744.806620
2002	 0.00015	 0.00037	 0.00008	 0.00019	 0.02432	 0.00001	 0.00003	 0.00000	 0.00000		200.574557	-3751.926362
3003	 0.00011	 0.00024	 0.00015	 0.00046	 0.02341	 0.00001	 0.00005	 0.00000	 0.00000		187.815750	-3757.746742
4004	 0.00016	 0.00016	 0.00013	 0.00035	 0.02430	 0.00000	 0.00004	 0.00000	 0.00000		188.821576	-3692.581834
5005	 0.00005	 0.00013	 0.00008	 0.00022	 0.02548	 0.00000	 0.00002	 0.00000	 0.00000		199.240836	-3691.099355
6006	 0.00004	 0.00009	 0.00003	 0.00017	 0.02228	 0.00000	 0.00001	 0.00000	 0.00000		202.808293	-3689.818361
7007	 0.00003	 0.00004	 0.00002	 0.00006	 0.02334	 0.00000	 0.00001	 0.00000	 0.00000		218.655743	-3704.627331
8008	 0.00002	 0.00005	 0.00001	 0.00002	 0.02307	 0.00000	 0.00000	 0.00000	 0.00000		248.737516	-3692.423550
9009	 0.00004	 0.00004	 0.00001	 0.00003	 0.02449	 0.00000	 0.00000	 0.00000	 0.00000		226.445918	-3752.202096
10010	 0.00006	 0.00009	 0.00001	 0.00003	 0.02538	 0.00000	 0.00000	 0.00000	 0.00000		220.134193	-3740.812198
11011	 0.00005	 0.00009	 0.00003	 0.00005	 0.02259	 0.00000	 0.00001	 0.00000	 0.00000		223.619770	-3762.039952
12012	 0.00002	 0.00005	 0.00002	 0.00006	 0.02533	 0.00000	 0.00001	 0.00000	 0.00000		220.728135	-3731.282747
13013	 0.00003	 0.00020	 0.00002	 0.00007	 0.02346	 0.00000	 0.00001	 0.00000	 0.00000		214.193854	-3773.214347
14014	 0.00001	 0.00005	 0.00001	 0.00002	 0.02507	 0.00000	 0.00000	 0.00000	 0.00000		236.978265	-3729.671783
15015	 0.00005	 0.00007	 0.00001	 0.00005	 0.02467	 0.00000	 0.00000	 0.00000	 0.00000		210.996624	-3792.382268
16016	 0.00007	 0.00012	 0.00002	 0.00004	 0.02264	 0.00000	 0.00001	 0.00000	 0.00000		220.411018	-3695.385033
17017	 0.00017	 0.00016	 0.00005	 0.00007	 0.02414	 0.00001	 0.00001	 0.00000	 0.00000		214.514996	-3671.401290
18018	 0.00008	 0.00007	 0.00005	 0.00014	 0.02582	 0.00000	 0.00002	 0.00000	 0.00000		209.560712	-3561.801619
19019	 0.00013	 0.00011	 0.00005	 0.00017	 0.02567	 0.00000	 0.00002	 0.00000	 0.00000		202.311238	-3716.633324
20020	 0.00009	 0.00012	 0.00009	 0.00031	 0.02483	 0.00000	 0.00003	 0.00000	 0.00000		197.256350	-3599.985422
21021	 0.00005	 0.00002	 0.00006	 0.00018	 0.02391	 0.00000	 0.00002	 0.00000	 0.00000		216.116929	-3628.159462
22022	 0.00004	 0.00007	 0.00009	 0.00023	 0.02440	 0.00000	 0.00003	 0.00000	 0.00000		200.405119	-3729.849032
23023	 0.00004	 0.00004	 0.00009	 0.00025	 0.02357	 0.00000	 0.00003	 0.00000	 0.00000		201.561287	-3672.896438
24024	 0.00006	 0.00004	 0.00013	 0.00044	 0.02355	 0.00000	 0.00005	 0.00000	 0.00000		200.453920	-3581.756598
25025	 0.00015	 0.00019	 0.00020	 0.00068	 0.02343	 0.00001	 0.00007	 0.00000	 0.00000		184.385910	-3753.585085
26026	 0.00022	 0.00015	 0.00025	 0.00054	 0.02378	 0.00001	 0.00007	 0.00000	 0.00000		184.076240	-3793.347243
27027	 0.00019	 0.00038	 0.00047	 0.00093	 0.02337	 0.00001	 0.00010	 0.00000	 0.00000		169.004154	-3670.422527
28028	 0.00010	 0.00027	 0.00014	 0.00049	 0.02236	 0.00001	 0.00006	 0.00000	 0.00000		192.193560	-3744.129361
29029	 0.00007	 0.00014	 0.00019	 0.00065	 0.02550	 0.00000	 0.00006	 0.00000	 0.00000		183.533676	-3677.752768
30030	 0.00002	 0.00004	 0.00006	 0.00019	 0.02447	 0.00000	 0.00002	 0.00000	 0.00000		214.240401	-3743.941568
31031	 0.00004	 0.00004	 0.00005	 0.00013	 0.02459	 0.00000	 0.00001	 0.00000	 0.00000		211.990581	-3725.500760
32032	 0.00011	 0.00022	 0.00010	 0.00025	 0.02546	 0.00000	 0.00003	 0.00000	 0.00000		192.114696	-3738.089948
33033	 0.00004	 0.00011	 0.00004	 0.00009	 0.02536	 0.00000	 0.00001	 0.00000	 0.00000		213.830639	-3504.778968
34034	 0.00003	 0.00005	 0.00003	 0.00012	 0.02488	 0.00000	 0.00001	 0.00000	 0.00000		209.093074	-3602.963402
35035	 0.00007	 0.00005	 0.00004	 0.00013	 0.02228	 0.00000	 0.00001	 0.00000	 0.00000		211.918954	-3583.357780
36036	 0.00008	 0.00015	 0.00008	 0.00026	 0.02403	 0.00000	 0.00003	 0.00000	 0.00000		198.083068	-3766.143668
37037	 0.00002	 0.00011	 0.00005	 0.00011	 0.02348	 0.00000	 0.00001	 0.00000	 0.00000		215.954616	-3629.653784
38038	 0.00005	 0.00006	 0.00003	 0.00007	 0.02519	 0.00000	 0.00001	 0.00000	 0.00000		223.171271	-3627.526454
39039	 0.00018	 0.00021	 0.00011	 0.00028	 0.02323	 0.00001	 0.00003	 0.00000	 0.00000		189.952211	-3617.165607
40040	 0.00007	 0.00015	 0.00005	 0.00021	 0.02413	 0.00000	 0.00002	 0.00000	 0.00000		200.860324	-3675.824234
41041	 0.00012	 0.00037	 0.00008	 0.00018	 0.02402	 0.00001	 0.00003	 0.00000	 0.00000		202.680055	-3689.050788
