time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.22045e-05	43.917
1	1.22045e-05	3.06001e-05	43.917
2	3.06001e-05	5.83275e-05	19.5669
3	5.83275e-05	0.00010012	30.2234
4	0.00010012	0.000163114	33.4401
5	0.000163114	0.000258063	10.3755
6	0.000258063	0.000401179	6.64319
7	0.000401179	0.000616894	21.9415
8	0.000616894	0.000942037	70.0708
9	0.000942037	0.00143212	84.4508
10	0.00143212	0.00217081	48.1835
11	0.00217081	0.00328423	23.7117
12	0.00328423	0.00496247	14.7148
13	0.00496247	0.00749204	12.0564
14	0.00749204	0.0113048	11.8618
15	0.0113048	0.0170517	12.8706
16	0.0170517	0.025714	14.6253
17	0.025714	0.0387704	16.7608
18	0.0387704	0.0584502	18.8218
19	0.0584502	0.088113	20.1513
20	0.088113	0.132823	20.3719
21	0.132823	0.200214	20.1077
22	0.200214	0.301792	20.0029
23	0.301792	0.454897	20.5237
24	0.454897	inf	20.5237
