time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.98601e-05	3592.92
1	2.98601e-05	7.23481e-05	3592.92
2	7.23481e-05	0.000132804	94.3926
3	0.000132804	0.000218828	1329.25
4	0.000218828	0.00034123	143.3
5	0.00034123	0.000515397	46.0599
6	0.000515397	0.000763219	56.741
7	0.000763219	0.00111584	106.415
8	0.00111584	0.0016176	157.708
9	0.0016176	0.00233154	123.185
10	0.00233154	0.00334741	46.7133
11	0.00334741	0.0047929	13.2087
12	0.0047929	0.00684968	4.94649
13	0.00684968	0.00977628	3.17241
14	0.00977628	0.0139405	3.29774
15	0.0139405	0.0198659	4.58591
16	0.0198659	0.028297	7.04162
17	0.028297	0.0402937	10.6139
18	0.0402937	0.0573638	15.1778
19	0.0573638	0.0816529	20.6543
20	0.0816529	0.116214	25.9779
21	0.116214	0.165391	30.4477
22	0.165391	0.235365	35.6059
23	0.235365	0.33493	50.1625
24	0.33493	inf	50.1625
