time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.31894e-05	58.7788
1	4.31894e-05	0.000104644	58.7788
2	0.000104644	0.000192087	0.0303023
3	0.000192087	0.00031651	17.7044
4	0.00031651	0.000493553	27.3995
5	0.000493553	0.000745466	53.8596
6	0.000745466	0.00110391	80.5884
7	0.00110391	0.00161395	61.781
8	0.00161395	0.00233968	32.331
9	0.00233968	0.00337232	17.7886
10	0.00337232	0.00484167	12.5936
11	0.00484167	0.00693241	11.3111
12	0.00693241	0.00990732	11.7156
13	0.00990732	0.0141403	12.9142
14	0.0141403	0.0201635	14.4678
15	0.0201635	0.0287338	16.1826
16	0.0287338	0.0409286	17.8046
17	0.0409286	0.0582805	19.1
18	0.0582805	0.0829706	19.8215
19	0.0829706	0.118102	20.027
20	0.118102	0.168091	20.1084
21	0.168091	0.23922	20.5007
22	0.23922	0.340429	21.5206
23	0.340429	0.484441	23.9894
24	0.484441	inf	23.9894
