time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.63715e-05	0.0162275
1	1.63715e-05	4.10987e-05	0.0162275
2	4.10987e-05	7.8446e-05	0.0156862
3	7.8446e-05	0.000134855	7.29021
4	0.000134855	0.000220053	0.0155896
5	0.000220053	0.000348734	0.0155874
6	0.000348734	0.000543092	0.392955
7	0.000543092	0.000836645	5.5691
8	0.000836645	0.00128002	43.852
9	0.00128002	0.00194969	56.6589
10	0.00194969	0.00296113	23.9337
11	0.00296113	0.0044888	9.79868
12	0.0044888	0.00679615	6.18498
13	0.00679615	0.0102811	5.80794
14	0.0102811	0.0155447	6.75532
15	0.0155447	0.0234948	8.36738
16	0.0234948	0.0355024	10.27
17	0.0355024	0.0536384	12.2337
18	0.0536384	0.0810305	14.0254
19	0.0810305	0.122403	15.2667
20	0.122403	0.184891	15.8996
21	0.184891	0.279272	16.289
22	0.279272	0.421822	16.6197
23	0.421822	0.637127	17.039
24	0.637127	inf	17.039
