time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.25334e-05	0.0270392
1	2.25334e-05	5.56235e-05	0.0270392
2	5.56235e-05	0.000104216	9.22426
3	0.000104216	0.000175573	0.021148
4	0.000175573	0.00028036	4.28834
5	0.00028036	0.000434239	3.177
6	0.000434239	0.000660207	15.9081
7	0.000660207	0.00099204	61.7092
8	0.00099204	0.00147933	73.9458
9	0.00147933	0.00219491	41.436
10	0.00219491	0.00324574	20.8685
11	0.00324574	0.00478885	13.4206
12	0.00478885	0.00705491	11.1966
13	0.00705491	0.0103826	11.0567
14	0.0103826	0.0152692	11.9563
15	0.0152692	0.0224452	13.5438
16	0.0224452	0.032983	15.5649
17	0.032983	0.0484577	17.7274
18	0.0484577	0.071182	19.5333
19	0.071182	0.104552	20.369
20	0.104552	0.153556	20.2981
21	0.153556	0.225518	19.9862
22	0.225518	0.331193	19.9061
23	0.331193	0.486375	20.4673
24	0.486375	inf	20.4673
