time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	1.63289e-05	43.95589999999999	0.0166468	3053.229999999999
1	1.63289e-05	4.09916e-05	27.284215999999994	0.0166468	3053.229999999999
2	4.09916e-05	7.82417e-05	30.010444999999997	0.0191531	2790.851199999999
3	7.82417e-05	0.000134503	56.478149999999985	7.25743	429.4420000000001
4	0.000134503	0.00021948	24.785793999999996	0.0156302	505.3812999999999
5	0.00021948	0.000347826	5.478546000000001	0.0156286	139.15556999999998
6	0.000347826	0.000541677	23.495620000000002	0.0156285	66.8125
7	0.000541677	0.000834466	73.39997000000001	7.8684	113.9419
8	0.000834466	0.00127669	76.09169000000001	74.9749	163.6645
9	0.00127669	0.00194461	42.58731000000001	38.082	143.34
10	0.00194461	0.00295342	19.660730000000008	7.92031	72.50839999999998
11	0.00295342	0.00447711	11.891990000000003	2.80805	23.545599999999993
12	0.00447711	0.00677845	10.42786	2.2553	7.235088000000001
13	0.00677845	0.0102543	11.380640000000001	3.07364	4.350765000000001
14	0.0102543	0.0155043	13.336419999999999	5.05826	4.868834
15	0.0155043	0.0234336	15.559210000000004	8.10553	7.360802
16	0.0234336	0.0354099	17.61191	11.7007	11.021844999999999
17	0.0354099	0.0534987	19.166880000000003	15.0573	15.624840000000003
18	0.0534987	0.0808195	19.906090000000003	17.0443	20.87644
19	0.0808195	0.122084	19.82845	17.1168	24.323550000000004
20	0.122084	0.18441	19.370600000000003	16.4643	26.52982
21	0.18441	0.278544	18.85902	16.138	28.23166
22	0.278544	0.420724	18.410840000000004	16.2227	29.2465
23	0.420724	0.635468	18.321	16.7533	29.2465
24	0.635468	inf	18.321	16.7533	29.2465
