time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	2.25334e-05	63.41450000000001	0.0270392	58.77879999999998
1	2.25334e-05	5.56235e-05	63.41450000000001	0.0270392	58.77879999999998
2	5.56235e-05	0.000104216	69.06282	9.22426	58.77879999999998
3	0.000104216	0.000175573	91.6561	0.021148	5.9051520700000015
4	0.000175573	0.00028036	8.673460000000002	4.28834	14.169580460000002
5	0.00028036	0.000434239	7.883854000000001	3.177	24.49097
6	0.000434239	0.000660207	30.275492	15.9081	45.921569999999996
7	0.000660207	0.00099204	84.45371999999999	61.7092	72.56976000000002
8	0.00099204	0.00147933	109.871	73.9458	67.42322
9	0.00147933	0.00219491	72.47098999999999	41.436	38.221000000000004
10	0.00219491	0.00324574	38.16961999999999	20.8685	20.69708
11	0.00324574	0.00478885	22.544300000000003	13.4206	13.113100000000003
12	0.00478885	0.00705491	15.602749999999999	11.1966	11.439349999999997
13	0.00705491	0.0103826	13.223759999999997	11.0567	11.835459999999998
14	0.0103826	0.0152692	13.08335	11.9563	13.224920000000003
15	0.0152692	0.0224452	14.244459999999998	13.5438	14.98224
16	0.0224452	0.032983	16.014519999999997	15.5649	16.8314
17	0.032983	0.0484577	18.41308	17.7274	18.32276
18	0.0484577	0.071182	20.65656	19.5333	19.460750000000004
19	0.071182	0.104552	21.886370000000007	20.369	19.944800000000004
20	0.104552	0.153556	21.872159999999997	20.2981	20.083980000000004
21	0.153556	0.225518	21.101439999999993	19.9862	20.38301
22	0.225518	0.331193	20.167219999999997	19.9061	21.31662
23	0.331193	0.486375	19.3557	20.4673	23.74252
24	0.486375	inf	19.3557	20.4673	23.9894
