time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.87402e-05	63.4145
1	3.87402e-05	9.38636e-05	63.4145
2	9.38636e-05	0.000172299	91.6561
3	0.000172299	0.000283904	8.67346
4	0.000283904	0.000442708	7.79612
5	0.000442708	0.00066867	32.7732
6	0.00066867	0.000990191	90.196
7	0.000990191	0.00144768	109.871
8	0.00144768	0.00209865	75.8902
9	0.00209865	0.00302491	41.6981
10	0.00302491	0.00434289	24.0557
11	0.00434289	0.00621825	16.4987
12	0.00621825	0.00888669	13.5122
13	0.00888669	0.0126836	12.7911
14	0.0126836	0.0180863	13.3756
15	0.0180863	0.0257737	14.8237
16	0.0257737	0.0367122	16.8084
17	0.0367122	0.0522766	19.1008
18	0.0522766	0.0744231	21.0455
19	0.0744231	0.105936	21.9798
20	0.105936	0.150775	21.8602
21	0.150775	0.214576	21.1827
22	0.214576	0.305359	20.3701
23	0.305359	0.434535	19.3557
24	0.434535	inf	19.3557
